Node Number,Height,Location,Area,Mass Flow,Pressure,Velocity,Velocity.Curl,Velocity.Helicity,Wall Shear,X,Y,Z
92,Low,IN,6.55424287e-07,2.31358383e-04,1.60813828e+04,0.00000000e+00,2.57991699e+02,0.00000000e+00,5.05855656e+00,7.16553209e-03,7.34292035e-18,2.97859963e-03
93,Low,IN,1.67507483e-06,4.90505307e-04,1.60539863e+04,3.95276338e-01,1.38546890e+02,4.45444679e+00,null,6.39364682e-03,1.09943139e-17,8.01121678e-06
94,Low,IN,1.72815646e-06,4.99897869e-04,1.60416035e+04,3.95225704e-01,3.69461823e+01,5.45843935e+00,null,5.75145986e-03,7.69541344e-18,5.98827537e-05
95,Low,IN,1.49994810e-06,4.19441261e-04,1.60282236e+04,3.94666284e-01,1.66200043e+02,9.69182014e+00,null,3.59790982e-03,1.11209230e-17,-4.83291037e-03
96,Low,IN,1.54967984e-06,4.29631327e-04,1.60214707e+04,3.94584686e-01,3.81044273e+01,1.40391579e+01,null,3.26607889e-03,7.95757345e-18,-4.35124990e-03
97,Low,IN,7.38779647e-07,1.83721015e-04,1.60303721e+04,0.00000000e+00,3.14221924e+02,0.00000000e+00,5.28077269e+00,3.89983156e-03,1.38777878e-17,-5.24196448e-03
98,Low,IN,7.74620389e-07,2.40394176e-04,1.60390996e+04,0.00000000e+00,3.10148651e+02,0.00000000e+00,5.61370754e+00,5.80571499e-03,1.38777878e-17,-2.91898404e-03
99,Low,IN,1.56809699e-06,4.77642199e-04,1.60353496e+04,3.94467801e-01,1.53994904e+02,7.06538391e+00,null,5.35188895e-03,1.12219011e-17,-2.65191775e-03
100,Low,IN,1.61705566e-06,4.90213453e-04,1.60257637e+04,3.94367397e-01,4.09912376e+01,1.02761106e+01,null,4.82938299e-03,8.18361875e-18,-2.35250266e-03
0,Low,LCA,1.08946431e-07,-9.68425593e-06,1.60000000e+04,2.94458270e-02,5.82946434e+01,3.62752676e-02,null,7.87019357e-02,1.06264099e-01,1.58847831e-02
1,Low,LCA,1.43294514e-07,-2.05486276e-06,1.60000000e+04,3.16264555e-02,5.71671600e+01,3.60568166e-02,null,7.89873824e-02,1.06372491e-01,1.55137293e-02
2,Low,LCA,1.48856572e-07,-2.00105274e-06,1.60000000e+04,4.63457890e-02,4.29547806e+01,6.27304912e-02,null,7.87500069e-02,1.06563605e-01,1.54282600e-02
3,Low,LCA,1.84245138e-07,-7.35350000e-07,1.60000000e+04,5.11522070e-02,3.84042358e+01,8.81937742e-02,null,7.85785243e-02,1.06590793e-01,1.55218551e-02
4,Low,LCA,1.09192825e-07,-9.43802843e-06,1.60000000e+04,4.18694466e-02,4.73403816e+01,8.05368423e-02,null,7.85182044e-02,1.06438547e-01,1.57814752e-02
